,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
422,startkonfiguration,,,,,,,,,,,"konfiguration av lösningen som är specifik och anpassad för kunden, som används som startpunkt vid implementation och som utgår ifrån leverantörens kunskap om sin lösning, erfarenheter från andra installationer samt analys av kundens verksamhet",,Klar,2019-12-10,FVM upphandling,Anmärkning 1     Startkonfigurationen ska föreligga då första implementation för test av lösningen görs och ska vara utgångspunkt för den grundkonfiguration som ska föreligga vid första skarpa driftsättning.,,,
423,grundkonfiguration,,,,,,,,,,,"konfiguration som utgår från startkonfigurationen (40.1), utformas i dialog mellan leverantör och kund och är en förutsättning för första skarpa driftsättning",,Klar,2019-12-10,FVM upphandling,Anmärkning 1     Grundkonfigurationen ska möjliggöra fullskalig drift i normal produktionsmiljö.,,,
424,vårdaktör,,,,,,,,,,,person (3.3.4) som deltar i vården av en patient (5.2.1),,Avråds,2019-12-10,FVM,"Anmärkning 1     SLL MedTerm definition: aktör som har yrkesansvar eller studerar för att få ta yrkesansvar inom hälso- och sjukvården. Den definitionen gör termen synonym med hälso- och sjukvårdspersonal, varför den strukits ur detta dokument. 

Anmärkning 2     I egenvård räknas även patienten som vårdaktör.",,,
425,"behandlande vårdaktivitet
",behandling,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) med syfte att förbättra eller bibehålla en patients (2.1.1) hälsotillstånd (4.2),,Avråds,2019-12-10,3R Contsys reviderad ,Förklaring     Se 7.2.7.1! Den termposten täcker begreppet i sin helhet.,,,
426,utredande vårdaktivitet,,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) med syfte att klargöra en patients (2.1.1) hälsotillstånd (4.2),,Avråds,2019-12-10,FVM efter revidering av formulering i 3R Contsys,Förklaring     Se 7.2.7.2! Den termposten täcker begreppet i sin helhet.,,,
427,aktivitetsmål,,,,,,,,,,,önskat utfall av ett hälso- och sjukvårdsaktivitetselement (7.2.7),,Avråds,2019-12-10,FVM efter revidering av formulering i 3R Contsys ,"Anmärkning 1     
Ersätts av vårdaktivitetsmål 9.2.6 - posten reviderad 2019-06-19.

Ett antal begrepp som analyserats i arbetet med Västra Götalandsregionens begreppssystem och som inte ingår i den fastställda begreppssamlingen. Referensnumren i definitionerna stämmer inte eftersom dessa begrepp inte ska användas i regionens informatikarbete.",,,
428,administrativ process,,,,,,,,,,,process (3.6.1),,Avråds,2019-12-10,,Förklaring: Ersätts av hälso- och sjukvårdsadministration 8.2.3.,,,
429,egenvårdsperiod,,,,,,,,,,,hälsorelaterad tidsperiod när ordinerad egenvård (7.2.4) utförs,,Avråds,2019-12-10,3R Contsys,Anmärkning 1     Dubblett till period för egen vård 10.2.2.3,,,
430,mandat att inhämta patientinformation,,,,,,,,,,,,,Avråds,2019-12-10,,Anmärkning 1 Det finns mandat att kommunicera personlig information 11.2.5. För att inhämta krävs inget separat mandat.,,,
431,medicinsk kunskap,,,,,,,,,,,"samlad erfarenhet, evidens och medicinsk utvärdering",,Avråds,2019-12-10,FVM,"Förklaring: Medicinsk kunskap är ett abstrakt begrepp som beskriver vad såväl den enskilda hälso- och sjukvårdspersonalen som kollektivet i hälso- och sjukvården vet och behärskar. Detta bygger på lärdom i form av erkänd (evidensbaserad) litteratur, egen med tiden ökande erfarenhet och omedelbara fynd under pågående processer. Den del av den medicinska kunskapen som nedtecknas till råd i hälso- och sjukvårdsverksamheten kallar vi medicinska riktlinjer. Men dessutom finns den i vars och ens huvud, i rutinbeskrivningar, läroböcker. Och icke minst hanteras den i det dagliga samtalet i arbetssituationen, där omvårdnadsfrågor, stödåtgärder samt diagnostiska och terapeutiska överväganden görs av alla yrkesgrupper och i samtal dem emellan. 

Anmärkning 1: Medicinsk kunskap styr all verksamhet i hälso- och sjukvården och har bäring på medicinska riktlinjer, bedömning, planering och mycket annat, varför begreppet inte har tagits med i begreppsmodellen. 

Anmärkning 2: Begreppet täcks bl.a. av Contsys kliniskt kunskapsunderlag 9.2.4.",,,
432,läkemedelsövertag,,,,,,,,,,,överförande av ansvar för läkemedelshantering gällande en patient (5.2.1),,Avråds,2019-12-10,,Förklaring     Redaktionellt fel: dubblett 31.2.3.1 med samma term.,,,
433,Verksamhetsdomän,,,,,,GIP,Eric Frumerie,,,2019-11-14,verksamhet som är avgränsad utifrån en uppsättning kriterier som definierar ett verksamhetsfält.,"En samling av koncept, roller, regler, kunskap och aktiviteter typiskt grupperat kring gemensamma kunskapsmål",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
434,Informationsdomän,,,,,,GIP,Eric Frumerie,,,2019-11-14,Information som är avgränsad utifrån en uppsättning kriterier inom ett verksamhetsfält.,"En samling av koncept, roller, regler, kunskap och aktiviteter typiskt grupperat kring gemensamma kunskapsmål",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
435,Begrepp,,,,,,GIP,Eric Frumerie,,,2019-11-14,kunskapsenhet som skapats genom en unik kombination av kännetecken.,Ett ord eller en fras som beskriver en sak eller ett koncept i kontexten av en specifik verksamhet,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
436, Informationsspecifikation,,,,,,GIP,Eric Frumerie,,,2019-11-14,,"En samling kännetecken, restriktioner och semantik som representerar ett koncept med tillräcklig detalj för att uttrycka mening till alla involverade aktörer.",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
437,Attribut,,,,,,GIP,Eric Frumerie,,,2019-11-14,egenskap som bygger en informationsspecifikation.,Instanser av egenskaper som beskriver ett informationsobjekt,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
438,Informationssäkerhetsklassificering,,,,,,GIP,Eric Frumerie,,,2019-11-14,tydlig beskrivning av värde en definierad mängd informationsspecifikation har för verksamheten och vilka skyddsnivåer och åtgärder som behövs för att hantera den.,Tydlig beskrivning av värde en definierad mängd informationsobjekt har för verksamheten och vilka skyddsnivåer och åtgärder som behövs för att hantera den.,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
439,Informationsägare,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Den som äger och ansvarar för att en definierad mängd informationsspecifikationer är riktig och tillförlitlig samt för det sätt informationen sprids.,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
440,Reell representation av Informationsspecifikation,,,,,,GIP,Eric Frumerie,,,2019-11-14,,"En samling kännetecken, restriktioner och syntax som representerar ett materialiserat informationsobjekt med tillräcklig detalj för att uttrycka mening och beskriva åtkomstmekanismer till alla involverade aktörer.",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
441,GIP-lager,,,,,,GIP,Eric Frumerie,,,2019-11-14,,"Vilken del av GIPs målarkitektur en fysisk representation av ett informationsobjekt tillhör. (API-lagret, Datavirtualiseringslagret)",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
442,Meddelandeformat,,,,,,GIP,Eric Frumerie,,,2019-11-14,,En struktur som beskriver en definierad mängd dataelement och deras relationer med varandra i syfte att agera informationsbärare från ett system till ett annat.,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
443,API,,,,,,GIP,Eric Frumerie,,,2019-11-14,,"Funktioner och procedurer som
tillåter applikationer att ha
tillgång till andra applikationers
information och processer.",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
444,Datamodell,,,,,,GIP,Eric Frumerie,,,2019-11-14,,"Struktur som organiserar
dataelement och standardiserar
hur de relaterar till varandra",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
445,Dokument,,,,,,GIP,Eric Frumerie,,,2019-11-14,samling av information som behandlas som en enhet och som lagrats på ett medium.,En fil som består av formaterad eller oformaterad text,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
446,Identitet,,,,,,GIP,Eric Frumerie,,,2019-11-14,,"Samling attribut relaterad till en entitet (person, organisation, applikation eller utrustning)",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
447,Systemanvändare,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Identitetsrepresantation för ett specifikt system,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
448,Systemroll,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Samling av systembehörigheter associerad till en specifik systemanvändargrupp,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
449,Systembehörighet,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Åtkomstkontrollförmågor för en specifik systemresurs,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
450,Styrningsroll,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Roll för att styra och förvalta definitioner av t.ex. Informationsspecifikationer eller informationsdomäner,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
451,term,,,,,,GIP,Eric Frumerie,,,2019-11-14,benämning på ett begrepp som tillhör ett fackområde,Ett ord eller en fras som beskriver en sak eller ett koncept i kontexten av en specifik verksamhet,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
452,vårdverksamhet,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Det här ersätts av Verksamhet eller Verksamhetsområde,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
453,domän,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Avgränsat område,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
454,informationsmodell,,,,,,GIP,Eric Frumerie,,,2019-11-14,,"En beskrivning av informationsklasser inkluderande dess attribut samt deras relationer, begränsningar, regler och operationer som semantiskt specificerar en vald domän.",Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
455,tillämpad informationsmodell,,,,,,GIP,Eric Frumerie,,,2019-11-14,,En informationsmodell som används i t.ex. en applikation (specifik tillämpning).,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
456,tillämpning,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Använda teori eller metod för praktiskt ändamål (wiktionary),Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
457,komponent,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Funktionell del av sammansatt helhet (SO),Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
458,objekt,,,,,,GIP,Eric Frumerie,,,2019-11-14,,Föremål eller företeelser som berörs av viss verksamhet (SO) ,Ny,2019-12-10,,,Detta begrepp behöver ses över.,,
459,transport,,,,,,Patienttransporter,,,,2019-12-05,förflyttning av person eller föremål,,Klar,2019-12-19,Rikstermbanken (reviderad),,,,
460,sjukhusintert transport,,,,,,Patienttransporter,,,,2019-12-05,transport inom sjukhustomt,,Klar,2019-12-19,VGR,,,,
461,patienttransport,,,,,,Patienttransporter,,,,2019-12-05,sjukhusintern transport av patient,,Klar,2019-12-19,VGR,,,,
462,transportobjekt,,,,,,Patienttransporter,,,,2019-12-05,föremål eller person  som transporteras,,Klar,2019-12-19,VGR,,,,
463,plats,,,,,,Patienttransporter,,,,2019-12-05,fysisk lokalisation,,Klar,2019-12-19,VGR utifrån SAOB,"Anmärkning 1: Platsen kan bestämmas som avdelning, rum, säng eller ospecifikt som en angiven lokalistation inom sjukhusområdet (t.ex. golvyta i kulvert)",,,
464,transportör,,,,,,Patienttransporter,,,,2019-12-05,hälso- och sjukvårdspersonal som utför transport,,Klar,2019-12-19,VGR,,,,
465,beställare [hälso- och sjukvård],,,,,,Patienttransporter,,,,2019-12-05,hälso- och sjukvårdspersonal som begär tjänst eller resurs,,Klar,2019-12-19,SO (reviderad),"Anmärkning 1: Alltid en person som gör beställningen, men kan göra det på uppdrag av en organisation.

Anmärkning 2: SO definierar ""person eller organisation som beställer ngt vanligen ngt mer om­fattande""",,,
466,"integrerat vårdfölde
integrerat arbetsflöde",,,,,,Kommunarbeter,,,,2020-01-27,,,Avråds,2020-01-27,,"2020-01-27, Magnus Fogelberg: Defenieras ej. Föreslår allmänuttrycket  integrerat arbetsflöde i i samklang med vårt begreppssystem.",,,
467,uppfödning av barn,,,,,,Mödravårdsspåret,Ajla,,,2020-01-27,,,Ny,,,,,,
468,egenmonitorering,,,,,,,,,,,insamling av hälsodata som patienten (5.2.1) gör på sig själv,,Pågår,,FVM,"Anmärkning 1     
Information som samlas in genom egenmonitorering blir patientgenererade hälsodata (32.2.2.7) som utgör icke validerad hälso- och sjukvårdsinformation (12.5.3.3), vilken såsom hälso- och sjukvårdsinformation för import (12.5.3.4) efter validering (av hälso- och sjukvårdspersonal) kan betecknas journalhandling (32.2.4)

Anmärkning 2    
DEFINITIONEN SKA STÄMMAS AV",,,
469,applikation,,,,,,,,,,,mjukvara med funktioner som krävs av en IT-tjänst,,,,Profecto service management: ITIL ordlista och förkortningar | 2011,,,,
470,digitalisering,,,,,,,,,,,"operativt arbete med överföring av information (3.9.5), data (3.9.1) och metadata till digitala format",,,,"Digisam: Digital informationshantering och infrastruktur för kulturarvet | 2014, Ordlista, s. 49–54",,,,
471,digitisering,,,,,,,,,,,konvertering av information (3.9.5) från analog till digital form,,,,"Computer Sweden, IT-ord, Ord och uttryck i it-branschen",,,,
472,e-hälsa,,,,,,,,,,,,,Pågår,,,"Anmärkning 1     
ÄRENDE UNDER UTREDNING",,,
473,generell,,,,,,,,,,,,,Pågår,,,"Anmärkning 1     
ÄRENDE UNDER UTREDNING",,,
474,generisk,,,,,,,,,,,,,Pågår,,,"Anmärkning 1     
ÄRENDE UNDER UTREDNING",,,
475,gränssnitt,,,,,,,,,,,"formellt specificerad och beskriven koppling eller kontaktyta mellan system, enheter och människa i olika kombinationer",,,,Terminologicentrum TNC: Basord i våra fackspråk | 2012,"Anmärkning 1     
Gränssnitt kan t.ex. gälla fysisk hopkoppling, signaler eller funktioner. Om man avser kontaktytan mellan människa och maskin talar man ofta om användargränssnitt.",,,
476,integration,,,,,,,,,,,"samordnande till en helhet

Alternativ definition     
samordnande eller sammanförande till en helhet (Hela definitionen från regeringskansliet. FVM gör bedömningen att ett sammanförande är en form av samordnande.)",,,,"FVM, bearbetad från regeringskansliet: EU-ordlista",,,,
477,integrera,,,,,,,,,,,,,Pågår,,,"Anmärkning 1     
ÄRENDE UNDER UTREDNING",,,
478,interoperabilitet,,,,,,,,,,,förmåga att fungera ihop utan att särskilda åtgärder måste vidtas,,,,SIS/Stanli: Stanlitermer | 2015,,,,
479,semantisk interoperabilitet,,,,,,,,,,,"förmåga att utväxla information mellan datorsystem på ett sådant sätt att mottagande system utan manuell intervention kan tolka informationens innebörd

Alternativ definition     
förmågan att utväxla information mellan datorsystem på ett sådant sätt att mottagande system utan manuell intervention kan tolka informationens innebörd och producera för slutanvändaren användbara resultat (Wikipedia, original)",,,,"Wikipedia, reviderad",,,,
